puesto,estado,ciudad,ap,indice,variacion,variacion_anual,peso_1,peso_100
1,D.F,Área Met. de la Cd. de México,Subyacente,109.021,0.13,2.99,0.1734,17.34
2,D.F,Área Met. de la Cd. de México,Servicios,107.8,-0.07,1.9,0.0957,9.57
3,D.F,Área Met. de la Cd. de México,Mercancías,110.525,0.37,4.35,0.0777,7.77
4,D.F,Área Met. de la Cd. de México,No Subyacente,109.768,1.73,2.81,0.0515,5.15
5,D.F,Área Met. de la Cd. de México,Otros servicios,106.847,-0.22,1.77,0.0434,4.34
6,D.F,Área Met. de la Cd. de México,Vivienda,107.681,0.08,1.93,0.0427,4.27
7,JALISCO,"Guadalajara, Jal.",Subyacente,109.728,0.16,4.28,0.0398,3.98
8,D.F,Área Met. de la Cd. de México,Mercancías no alimenticias,107.667,0.09,3.29,0.0394,3.94
9,D.F,Área Met. de la Cd. de México,Alimentos,113.473,0.65,5.4,0.0382,3.82
10,NUEVO LEON,"Monterrey, N.L.",Subyacente,108.624,0.02,2.93,0.037,3.7
11,D.F,Área Met. de la Cd. de México,Energéticos y Tarifas Autorizadas por el Gobierno,106.341,3.15,2.83,0.0274,2.74
12,PUEBLA,"Puebla, Pue.",Subyacente,110.783,0.46,3.55,0.027,2.7
13,VERACRUZ,"Córdoba, Ver.",Subyacente,110.754,0.25,4.19,0.0256,2.56
14,D.F,Área Met. de la Cd. de México,Agropecuarios,113.667,0.25,2.79,0.0241,2.41
15,GUANAJUATO,"Cortazar, Gto.",Subyacente,108.749,0.22,3.24,0.021,2.1
16,SINALOA,"Culiacán, Sin.",Subyacente,109.66,0.69,3.96,0.0206,2.06
17,JALISCO,"Guadalajara, Jal.",Servicios,108.035,0.09,2.66,0.0201,2.01
18,JALISCO,"Guadalajara, Jal.",Mercancías,111.451,0.23,5.93,0.0197,1.97
19,NUEVO LEON,"Monterrey, N.L.",Mercancías,111.124,0.14,4.65,0.0189,1.89
20,NUEVO LEON,"Monterrey, N.L.",Servicios,106.025,-0.1,1.12,0.0181,1.81
21,D.F,Área Met. de la Cd. de México,Energéticos,107.035,4.77,2.74,0.0172,1.72
22,SAN LUIS POTOSI,"San Luis Potosí, S.L.P.",Subyacente,111.001,0.4,4.51,0.0166,1.66
23,ESTADO DE MEXICO,"Toluca, Edo. de Méx.",Subyacente,108.521,0.34,3.53,0.016,1.6
24,GUANAJUATO,"León, Gto.",Subyacente,107.932,0.22,3.15,0.0151,1.51
25,VERACRUZ,"Córdoba, Ver.",Mercancías,113.743,0.35,5.83,0.0146,1.46
26,BAJA CALIFORNIA,"Tijuana, B.C.",Subyacente,110.945,0.44,5.81,0.0144,1.44
27,JALISCO,"Tepatitlán, Jal.",Subyacente,110.37,0.93,4.09,0.0135,1.35
28,MICHOACAN,"Jacona, Mich.",Subyacente,111.139,0.76,5.14,0.0135,1.35
29,OAXACA,"Oaxaca, Oax.",Subyacente,109.891,0.54,3.98,0.0135,1.35
30,PUEBLA,"Puebla, Pue.",Mercancías,112.69,0.46,5.45,0.0135,1.35
31,PUEBLA,"Puebla, Pue.",Servicios,108.882,0.45,1.65,0.0135,1.35
32,QUERETARO,"Querétaro, Qro.",Subyacente,110.898,0.29,4.08,0.0135,1.35
33,BAJA CALIFORNIA,"Mexicali, B.C.",Subyacente,108.461,0.12,4.51,0.0131,1.31
34,TABASCO,"Villahermosa, Tab.",Subyacente,109.597,0.28,3.83,0.0131,1.31
35,YUCATAN,"Mérida, Yuc.",Subyacente,110.048,0.41,3.94,0.0131,1.31
36,TAMAULIPAS,"Tampico, Tamps.",Subyacente,108.65,0.32,3.7,0.0129,1.29
37,D.F,Área Met. de la Cd. de México,Resto de Agropecuarios,117.389,0.55,12.46,0.0128,1.28
38,NUEVO LEON,"Monterrey, N.L.",No Subyacente,110.934,0.98,0.37,0.0125,1.25
39,SINALOA,"Culiacán, Sin.",Mercancías,110.73,0.82,4.83,0.012,1.2
40,JALISCO,"Guadalajara, Jal.",No Subyacente,110.945,2.31,2.9,0.0115,1.15
41,MORELOS,"Cuernavaca, Mor.",Subyacente,109.389,-0.01,3.48,0.0114,1.14
